,PropertyID,LocalityName,PostalCode,TypeOfProperty,SubtypeOfProperty,Price,TypeOfSale,NumberOfRooms,LivingArea,EquippedKitchen,Furnished,OpenFire,Terrace,Garden,Surface,NumberOfFacades,SwimmingPool,StateOfBuilding
0,11035446.0,Asse,1731,APARTMENT,APARTMENT,196000.0,,0.0,,1.0,0.0,0.0,0.0,0.0,,,False,
1,11035419.0,Antwerpen,2100,APARTMENT,APARTMENT,199000.0,,2.0,75.0,1.0,0.0,1.0,4.0,0.0,,2.0,False,GOOD
2,11035418.0,Nieuwpoort,8620,APARTMENT,APARTMENT,368000.0,,2.0,68.0,,1.0,0.0,0.0,0.0,,2.0,False,
3,11035362.0,Mons,7000,APARTMENT_GROUP,APARTMENT_GROUP,,NewlyBuilt,,,,0.0,0.0,0.0,0.0,,,False,
4,11035360.0,Lauwe,8930,APARTMENT,APARTMENT,355000.0,,3.0,150.0,,0.0,0.0,,0.0,,,False,GOOD
5,11035353.0,Schaerbeek,1030,APARTMENT,DUPLEX,800000.0,,4.0,240.0,1.0,0.0,0.0,15.0,109.0,,2.0,False,
6,11035351.0,Oostende,8400,APARTMENT,APARTMENT,169000.0,,2.0,70.0,1.0,0.0,0.0,,0.0,,2.0,False,GOOD
7,11035349.0,Liège,4000,APARTMENT,APARTMENT,159000.0,,1.0,69.0,0.0,0.0,0.0,450.0,0.0,,2.0,False,TO_RENOVATE
8,11035347.0,Knokke-Heist,8300,APARTMENT,APARTMENT,1545000.0,,3.0,117.0,1.0,1.0,0.0,,0.0,,2.0,False,JUST_RENOVATED
9,11035344.0,Knokke-Heist,8300,APARTMENT,APARTMENT,995000.0,,3.0,240.0,,0.0,0.0,0.0,0.0,,,False,
10,11035343.0,Schilde,2970,APARTMENT,APARTMENT,362000.0,,2.0,113.0,1.0,0.0,1.0,20.0,0.0,,,False,AS_NEW
11,11035338.0,Ganshoren,1083,APARTMENT,DUPLEX,525000.0,,6.0,171.0,,0.0,0.0,3.0,0.0,,2.0,False,
12,11035336.0,Molenbeek-Saint-Jean,1080,APARTMENT,APARTMENT,165000.0,,1.0,74.0,1.0,0.0,0.0,0.0,0.0,,2.0,False,GOOD
13,11035314.0,Kessel,2560,APARTMENT_GROUP,APARTMENT_GROUP,,NewlyBuilt,,,,0.0,0.0,0.0,0.0,,,False,
14,11035312.0,Kessel,2560,APARTMENT,APARTMENT,423500.0,,3.0,137.0,1.0,0.0,1.0,17.0,0.0,,,False,
15,11035304.0,Kessel,2560,APARTMENT,GROUND_FLOOR,313800.0,,3.0,98.0,1.0,0.0,1.0,13.0,30.0,,,False,
16,11035301.0,Kessel,2560,APARTMENT,APARTMENT,423500.0,,3.0,137.0,1.0,0.0,1.0,17.0,0.0,,,False,
17,11035286.0,Gent,9000,APARTMENT,APARTMENT,234500.0,,1.0,59.0,1.0,0.0,1.0,,0.0,,2.0,False,GOOD
18,11035283.0,Liège,4000,APARTMENT,PENTHOUSE,340000.0,,2.0,145.0,1.0,1.0,0.0,67.0,10000.0,,3.0,False,AS_NEW
19,10832696.0,Antwerpen,2170,APARTMENT,DUPLEX,168000.0,,1.0,,,0.0,0.0,0.0,0.0,,,False,
20,11035242.0,Kortrijk,8500,APARTMENT_GROUP,APARTMENT_GROUP,,NewlyBuilt,,,,0.0,0.0,0.0,0.0,,,False,
21,11035241.0,Ekeren (Antwerpen),2180,APARTMENT,APARTMENT,244000.0,,2.0,76.0,,0.0,0.0,0.0,0.0,,2.0,False,
22,11035236.0,Halle,1500,APARTMENT,APARTMENT,245000.0,,2.0,90.0,,0.0,0.0,0.0,0.0,,,False,GOOD
23,11035222.0,Knokke-Heist,8301,APARTMENT,APARTMENT,450000.0,,2.0,80.0,,0.0,0.0,0.0,0.0,,,False,
24,11035220.0,Middelkerke,8430,APARTMENT_GROUP,APARTMENT_GROUP,,NewlyBuilt,,,,0.0,0.0,0.0,0.0,,,False,
25,11035219.0,Middelkerke,8430,APARTMENT,GROUND_FLOOR,260000.0,,2.0,69.0,1.0,0.0,1.0,8.0,0.0,,,False,
26,11035217.0,Knokke-Heist,8300,APARTMENT,APARTMENT,4600000.0,,3.0,163.0,1.0,1.0,0.0,17.0,0.0,,2.0,False,AS_NEW
27,11035216.0,Brasschaat (Brasschaat),2930,APARTMENT,APARTMENT,494000.0,,2.0,98.0,,0.0,0.0,,0.0,,2.0,False,GOOD
28,11035215.0,Brasschaat (Brasschaat),2930,APARTMENT,APARTMENT,1414000.0,,9.0,320.0,,0.0,0.0,,0.0,,2.0,False,GOOD
29,11035214.0,Brasschaat (Brasschaat),2930,APARTMENT,APARTMENT,299000.0,,2.0,68.0,,0.0,0.0,,0.0,,2.0,False,GOOD
30,11035442.0,Ronse,9600,HOUSE,HOUSE,394600.0,NewlyBuilt,3.0,172.0,,0.0,0.0,,90.0,176.0,3.0,False,
31,11035422.0,Kuurne,8520,HOUSE,HOUSE,239000.0,,4.0,163.0,,0.0,0.0,,0.0,0.0,,False,GOOD
32,11035421.0,Ronse,9600,HOUSE,HOUSE,383700.0,NewlyBuilt,4.0,183.0,,0.0,0.0,,97.0,149.0,2.0,False,
33,11035420.0,Ronse,9600,HOUSE,HOUSE,347400.0,NewlyBuilt,4.0,168.0,,0.0,0.0,,93.0,166.0,3.0,False,
34,11035418.0,Nieuwpoort,8620,APARTMENT,APARTMENT,368000.0,,2.0,68.0,,1.0,0.0,0.0,0.0,,2.0,False,
35,11035417.0,Ronse,9600,HOUSE,HOUSE,313400.0,NewlyBuilt,3.0,162.0,1.0,0.0,0.0,,63.0,141.0,3.0,False,
36,11035362.0,Mons,7000,APARTMENT_GROUP,APARTMENT_GROUP,,NewlyBuilt,,,,0.0,0.0,0.0,0.0,,,False,
37,11035361.0,Ronse,9600,HOUSE,HOUSE,308500.0,NewlyBuilt,2.0,97.0,1.0,0.0,0.0,,110.0,187.0,3.0,False,
38,11035360.0,Lauwe,8930,APARTMENT,APARTMENT,355000.0,,3.0,150.0,,0.0,0.0,,0.0,,,False,GOOD
39,11035352.0,DINEZ,6661,HOUSE,HOUSE,330000.0,,3.0,211.0,1.0,0.0,0.0,0.0,0.0,1800.0,4.0,False,AS_NEW
40,11035351.0,Oostende,8400,APARTMENT,APARTMENT,169000.0,,2.0,70.0,1.0,0.0,0.0,,0.0,,2.0,False,GOOD
41,11035350.0,Liège,4000,HOUSE,MIXED_USE_BUILDING,395000.0,,3.0,153.0,,0.0,0.0,0.0,0.0,70.0,2.0,False,TO_RENOVATE
42,11035349.0,Liège,4000,APARTMENT,APARTMENT,159000.0,,1.0,69.0,0.0,0.0,0.0,450.0,0.0,,2.0,False,TO_RENOVATE
43,11035347.0,Knokke-Heist,8300,APARTMENT,APARTMENT,1545000.0,,3.0,117.0,1.0,1.0,0.0,,0.0,,2.0,False,JUST_RENOVATED
44,11035344.0,Knokke-Heist,8300,APARTMENT,APARTMENT,995000.0,,3.0,240.0,,0.0,0.0,0.0,0.0,,,False,
45,11035341.0,Denderleeuw,9470,HOUSE,HOUSE,385000.0,,0.0,150.0,,0.0,0.0,,124.0,290.0,3.0,False,
46,11035314.0,Kessel,2560,APARTMENT_GROUP,APARTMENT_GROUP,,NewlyBuilt,,,,0.0,0.0,0.0,0.0,,,False,
47,11035312.0,Kessel,2560,APARTMENT,APARTMENT,423500.0,,3.0,137.0,1.0,0.0,1.0,17.0,0.0,,,False,
48,11035304.0,Kessel,2560,APARTMENT,GROUND_FLOOR,313800.0,,3.0,98.0,1.0,0.0,1.0,13.0,30.0,,,False,
49,11035301.0,Kessel,2560,APARTMENT,APARTMENT,423500.0,,3.0,137.0,1.0,0.0,1.0,17.0,0.0,,,False,
50,11035296.0,Zoersel,2980,HOUSE,HOUSE,599000.0,,3.0,225.0,,0.0,0.0,,0.0,1092.0,4.0,False,GOOD
51,11035295.0,Ravels Poppel,2382,HOUSE,HOUSE,565000.0,,5.0,230.0,,0.0,0.0,,0.0,979.0,4.0,False,
52,11035288.0,Merelbeke,9820,HOUSE,HOUSE,320000.0,,4.0,281.0,1.0,0.0,1.0,,0.0,180.0,3.0,False,TO_BE_DONE_UP
53,11035287.0,Waterloo,1410,HOUSE,VILLA,1350000.0,,3.0,496.0,1.0,0.0,0.0,,0.0,715.0,4.0,True,AS_NEW
54,11035286.0,Gent,9000,APARTMENT,APARTMENT,234500.0,,1.0,59.0,1.0,0.0,1.0,,0.0,,2.0,False,GOOD
55,11035283.0,Liège,4000,APARTMENT,PENTHOUSE,340000.0,,2.0,145.0,1.0,1.0,0.0,67.0,10000.0,,3.0,False,AS_NEW
56,11035272.0,Oudenaarde,9700,HOUSE,HOUSE,248000.0,,3.0,165.0,,0.0,1.0,0.0,0.0,604.0,3.0,False,
57,11035271.0,Deerlijk,8540,HOUSE,HOUSE,425000.0,,3.0,245.0,1.0,0.0,1.0,60.0,90.0,292.0,2.0,False,GOOD
58,11035252.0,Oostende,8400,HOUSE,HOUSE,230000.0,,3.0,,,0.0,0.0,0.0,0.0,276.0,4.0,False,TO_RENOVATE
59,11035242.0,Kortrijk,8500,APARTMENT_GROUP,APARTMENT_GROUP,,NewlyBuilt,,,,0.0,0.0,0.0,0.0,,,False,
60,11035213.0,Brasschaat (Brasschaat),2930,APARTMENT,APARTMENT,525000.0,,4.0,126.0,,0.0,0.0,,0.0,,2.0,False,GOOD
61,11035212.0,Brasschaat (Brasschaat),2930,APARTMENT,APARTMENT,295000.0,,1.0,57.0,,0.0,0.0,,0.0,,2.0,False,GOOD
62,11035211.0,Mechelen,2800,APARTMENT,APARTMENT,249000.0,,2.0,105.0,0.0,0.0,1.0,0.0,0.0,,,False,GOOD
63,11035208.0,Etterbeek,1040,APARTMENT,APARTMENT,450000.0,,3.0,115.0,1.0,0.0,1.0,5.0,0.0,,,False,
64,11035203.0,BRUXELLES,1000,APARTMENT,APARTMENT,150000.0,,1.0,30.0,1.0,1.0,1.0,0.0,,,,False,
65,11035196.0,Kortrijk,8500,APARTMENT,APARTMENT,649000.0,,9.0,,,0.0,0.0,,0.0,,2.0,False,GOOD
66,11035194.0,Brasschaat (Brasschaat),2930,APARTMENT,FLAT_STUDIO,245000.0,,1.0,49.0,,0.0,0.0,,0.0,,2.0,False,GOOD
67,11035193.0,Brasschaat (Brasschaat),2930,APARTMENT,FLAT_STUDIO,249000.0,,1.0,49.0,,0.0,0.0,,0.0,,2.0,False,GOOD
68,11035191.0,Knokke-Heist,8300,APARTMENT,PENTHOUSE,995000.0,,2.0,70.0,1.0,0.0,0.0,50.0,0.0,,2.0,False,JUST_RENOVATED
69,11035187.0,Antwerp,2000,APARTMENT,APARTMENT,235000.0,,1.0,43.0,1.0,0.0,0.0,25.0,0.0,,2.0,False,
70,11035185.0,Saint-Josse-ten-Noode,1210,APARTMENT,APARTMENT,129000.0,,1.0,,1.0,0.0,1.0,0.0,0.0,,,False,TO_BE_DONE_UP
71,11035184.0,Kortenberg,3070,APARTMENT,DUPLEX,240000.0,,1.0,,1.0,1.0,0.0,0.0,0.0,,,False,AS_NEW
72,11035180.0,Turnhout,2300,APARTMENT,GROUND_FLOOR,218500.0,,1.0,53.0,,0.0,0.0,12.0,0.0,,2.0,False,
73,11035172.0,Turnhout,2300,APARTMENT,APARTMENT,255500.0,,3.0,106.0,,0.0,0.0,,0.0,,2.0,False,
74,11035162.0,Turnhout,2300,APARTMENT,APARTMENT,255500.0,,3.0,106.0,,0.0,0.0,,0.0,,2.0,False,
75,11035160.0,Aalst,9300,APARTMENT,APARTMENT,345000.0,,3.0,138.0,0.0,0.0,0.0,8.0,0.0,,,False,GOOD
76,11035154.0,Knokke-Heist,8300,APARTMENT,APARTMENT,875000.0,,2.0,97.0,,0.0,0.0,0.0,0.0,,,False,GOOD
77,11035153.0,Oostende,8400,APARTMENT,APARTMENT,138000.0,,1.0,70.0,1.0,0.0,0.0,0.0,0.0,,2.0,False,GOOD
78,11035151.0,Veurne,8630,APARTMENT,GROUND_FLOOR,249000.0,,2.0,91.0,0.0,0.0,0.0,0.0,60.0,,2.0,False,GOOD
79,11035137.0,Uccle,1180,APARTMENT,APARTMENT,277000.0,,2.0,90.0,,0.0,0.0,4.0,0.0,,2.0,False,
80,10951261.0,Koekelberg,1081,APARTMENT,APARTMENT,275000.0,,3.0,98.0,1.0,0.0,0.0,4.0,,,2.0,False,AS_NEW
