,PropertyID,LocalityName,PostalCode,TypeOfProperty,SubtypeOfProperty,Price,TypeOfSale,NumberOfRooms,LivingArea,EquippedKitchen,Furnished,OpenFire,Terrace,Garden,Surface,NumberOfFacades,SwimmingPool,StateOfBuilding
19307,11007875.0,Eeklo,9900,HOUSE,HOUSE,225000.0,,2.0,134.0,1.0,0.0,0.0,,0.0,250.0,2.0,False,GOOD
19308,11007874.0,Ixelles,1050,APARTMENT,APARTMENT,360000.0,,2.0,70.0,1.0,0.0,0.0,,0.0,,2.0,False,JUST_RENOVATED
19309,11007871.0,Bazel,9150,HOUSE,HOUSE,229000.0,,3.0,156.0,1.0,0.0,0.0,0.0,55.0,150.0,2.0,False,TO_RENOVATE
19310,11007868.0,Reningelst,8970,HOUSE,HOUSE,228000.0,,5.0,271.0,1.0,0.0,0.0,0.0,0.0,515.0,4.0,False,TO_RENOVATE
19311,11007867.0,Reningelst,8970,HOUSE,HOUSE,298000.0,,3.0,193.0,1.0,0.0,0.0,,0.0,3440.0,4.0,False,GOOD
19312,11007862.0,Izegem,8870,HOUSE,TOWN_HOUSE,269000.0,,3.0,164.0,1.0,0.0,0.0,1.0,0.0,0.0,,False,AS_NEW
19313,11007861.0,Waregem,8790,HOUSE,HOUSE,299000.0,,3.0,174.0,1.0,0.0,0.0,0.0,0.0,188.0,2.0,False,GOOD
19314,11007858.0,Koksijde,8670,APARTMENT,GROUND_FLOOR,219000.0,,1.0,68.0,1.0,0.0,0.0,16.0,0.0,,2.0,False,GOOD
19315,11007857.0,De Panne,8660,APARTMENT,PENTHOUSE,625000.0,,2.0,80.0,1.0,1.0,0.0,190.0,0.0,,2.0,False,GOOD
19316,11007856.0,De Panne,8660,APARTMENT,FLAT_STUDIO,130000.0,,0.0,31.0,1.0,1.0,0.0,4.0,0.0,,2.0,False,GOOD
19317,11007855.0,Nijlen,2560,APARTMENT,GROUND_FLOOR,359000.0,,2.0,112.0,1.0,0.0,0.0,,90.0,,3.0,False,
19318,11007854.0,Saint Nicolas,4420,HOUSE,HOUSE,265000.0,,3.0,203.0,0.0,0.0,0.0,0.0,0.0,299.0,3.0,False,
19319,11007853.0,Blankenberge,8370,APARTMENT,APARTMENT,249000.0,,2.0,87.0,1.0,1.0,0.0,,0.0,,2.0,False,
19320,10969770.0,Oostende,8400,APARTMENT,APARTMENT,515000.0,,2.0,92.0,1.0,0.0,0.0,22.0,0.0,,4.0,False,AS_NEW
19321,10969767.0,Antwerpen-Zuid,2018,APARTMENT,SERVICE_FLAT,249000.0,,1.0,62.0,1.0,0.0,0.0,0.0,0.0,,4.0,False,AS_NEW
19322,10969765.0,Harelbeke,8530,APARTMENT,APARTMENT,269000.0,,1.0,81.0,0.0,0.0,0.0,0.0,17.0,,2.0,False,GOOD
19323,10969764.0,Harelbeke,8530,APARTMENT,APARTMENT,289000.0,,2.0,86.0,0.0,0.0,0.0,0.0,8.0,,3.0,False,GOOD
19324,10969758.0,Vilvoorde,1800,APARTMENT,APARTMENT,275000.0,,2.0,90.0,0.0,0.0,0.0,0.0,0.0,,,False,GOOD
19325,10969756.0,Nieuwenrode,1880,APARTMENT,APARTMENT,199000.0,,1.0,65.0,0.0,0.0,0.0,14.0,0.0,,2.0,False,
19326,10969753.0,Nivelles,1400,APARTMENT,GROUND_FLOOR,295000.0,,2.0,80.0,,0.0,0.0,0.0,50.0,,,False,GOOD
19327,10969752.0,Anderlecht,1070,APARTMENT,APARTMENT,185000.0,,2.0,75.0,0.0,0.0,0.0,16.0,0.0,,,False,GOOD
19328,10969750.0,Arquennes,7181,APARTMENT,GROUND_FLOOR,295000.0,,2.0,80.0,,0.0,0.0,0.0,50.0,,,False,GOOD
19329,10969743.0,Nieuwenrode,1880,APARTMENT,APARTMENT,175000.0,,1.0,66.0,0.0,0.0,0.0,14.0,0.0,,2.0,False,
19330,10969737.0,Nieuwenrode,1880,APARTMENT,APARTMENT,210000.0,,2.0,96.0,0.0,0.0,0.0,38.0,0.0,,2.0,False,
19331,10969736.0,Antwerp,2000,APARTMENT,APARTMENT,192000.0,PublicSale,3.0,117.0,,0.0,0.0,,0.0,,2.0,False,
19332,10969733.0,Jette,1090,APARTMENT,APARTMENT,209000.0,,2.0,76.0,1.0,0.0,0.0,,0.0,,4.0,False,TO_BE_DONE_UP
19333,10969731.0,Oostende,8400,APARTMENT,APARTMENT,268000.0,,2.0,79.0,,0.0,0.0,0.0,0.0,,2.0,False,GOOD
19334,10969728.0,Brugge,8200,APARTMENT,APARTMENT,159000.0,,2.0,,0.0,0.0,0.0,0.0,0.0,,,False,
19335,10969726.0,Gent,9000,APARTMENT,APARTMENT,2495000.0,,8.0,,,0.0,0.0,0.0,0.0,,,False,GOOD
19336,10969725.0,Knokke,8300,APARTMENT,APARTMENT,565000.0,,3.0,99.0,,0.0,0.0,,0.0,,,False,GOOD
19337,10969724.0,Knokke,8300,APARTMENT,PENTHOUSE,1145000.0,,0.0,158.0,,0.0,0.0,0.0,0.0,,,False,GOOD
19338,10969721.0,Gavere,9890,APARTMENT_GROUP,APARTMENT_GROUP,,NewlyBuilt,,,,0.0,0.0,0.0,0.0,,,False,
19339,10969719.0,ROTSELAAR,3118,APARTMENT,APARTMENT,850000.0,,3.0,183.0,1.0,0.0,0.0,,0.0,,,False,GOOD
19340,10969687.0,Braine-l'Alleud,1420,APARTMENT_GROUP,APARTMENT_GROUP,,NewlyBuilt,,,,0.0,0.0,0.0,0.0,,,False,
19341,10969686.0,Braine-l'Alleud,1420,APARTMENT,APARTMENT,398000.0,NewlyBuilt,3.0,131.0,1.0,0.0,0.0,13.0,0.0,,2.0,False,AS_NEW
19342,10969684.0,Molenbeek-Saint-Jean,1080,APARTMENT,APARTMENT,149000.0,,2.0,90.0,,0.0,0.0,0.0,0.0,,2.0,False,
19343,10969675.0,Molenbeek-Saint-Jean,1080,APARTMENT,APARTMENT,235000.0,,2.0,100.0,1.0,0.0,0.0,4.0,0.0,,4.0,False,GOOD
19344,10969669.0,Antwerpen,2170,APARTMENT,APARTMENT,199000.0,,2.0,90.0,0.0,0.0,0.0,7.0,0.0,,2.0,False,
19345,10969667.0,Laeken,1020,APARTMENT,APARTMENT,169000.0,,1.0,65.0,1.0,0.0,0.0,12.0,0.0,,2.0,False,GOOD
19346,10969649.0,Anderlecht,1070,APARTMENT,APARTMENT,225000.0,,1.0,,,0.0,0.0,0.0,0.0,,,False,GOOD
19347,10898223.0,Scherpenheuvel,3270,APARTMENT_GROUP,APARTMENT_GROUP,,NewlyBuilt,,,,0.0,0.0,0.0,0.0,,,False,
19348,10969643.0,Uccle,1180,APARTMENT,APARTMENT,465000.0,,2.0,110.0,1.0,0.0,1.0,5.0,0.0,,2.0,False,AS_NEW
19349,10969639.0,Eernegem,8480,APARTMENT,APARTMENT,139000.0,,3.0,87.0,0.0,0.0,0.0,0.0,0.0,,,False,GOOD
19350,11007851.0,Waregem,8790,APARTMENT,APARTMENT,250000.0,,2.0,74.0,,0.0,0.0,,0.0,,2.0,False,
19351,11007850.0,Adinkerke,8660,HOUSE,HOUSE,345000.0,,3.0,164.0,1.0,0.0,0.0,,0.0,349.0,3.0,False,GOOD
19352,11007849.0,Kontich,2550,HOUSE,VILLA,1975000.0,,6.0,558.0,1.0,0.0,1.0,0.0,0.0,2671.0,4.0,True,JUST_RENOVATED
19353,11007848.0,Knokke centrum,8300,APARTMENT,APARTMENT,595000.0,,2.0,95.0,1.0,0.0,0.0,30.0,0.0,,2.0,False,GOOD
19354,11007841.0,Kapellen,2950,HOUSE,APARTMENT_BLOCK,539000.0,,5.0,308.0,,0.0,0.0,0.0,260.0,512.0,2.0,False,TO_RENOVATE
19355,11007840.0,Kapellen,2950,APARTMENT,APARTMENT,155000.0,,0.0,60.0,,0.0,0.0,0.0,0.0,,3.0,False,TO_RENOVATE
19356,11007839.0,Boom,2850,APARTMENT,APARTMENT,227000.0,,2.0,80.0,1.0,0.0,0.0,,0.0,,4.0,False,GOOD
19357,11001677.0,Pont-à-Celles,6230,HOUSE,HOUSE,75000.0,,2.0,,1.0,0.0,1.0,0.0,0.0,329.0,,False,
19358,11001676.0,Pont-à-Celles,6230,HOUSE,HOUSE,210000.0,,4.0,,1.0,0.0,1.0,0.0,0.0,330.0,,False,
19359,11007837.0,Merksem,2170,APARTMENT,APARTMENT,155000.0,,1.0,58.0,1.0,0.0,0.0,9.0,0.0,,4.0,False,GOOD
19360,11007835.0,Merksem,2170,APARTMENT,APARTMENT,255000.0,,2.0,82.0,1.0,0.0,0.0,7.0,0.0,,2.0,False,GOOD
19361,11007834.0,Deurne,2100,HOUSE,HOUSE,335000.0,,4.0,168.0,1.0,0.0,0.0,0.0,45.0,127.0,2.0,False,TO_BE_DONE_UP
19362,11007833.0,Strombeek-Bever,1853,HOUSE,HOUSE,712000.0,,0.0,,1.0,0.0,0.0,0.0,0.0,383.0,3.0,False,GOOD
19363,11007831.0,Grimbergen,1850,APARTMENT,DUPLEX,485000.0,,3.0,155.0,1.0,0.0,0.0,,0.0,,4.0,False,GOOD
19364,11007824.0,ANTWERPEN,2018,APARTMENT,APARTMENT,549000.0,,3.0,163.0,1.0,0.0,0.0,2.0,20.0,,2.0,False,JUST_RENOVATED
