,PropertyID,LocalityName,PostalCode,TypeOfProperty,SubtypeOfProperty,Price,TypeOfSale,NumberOfRooms,LivingArea,EquippedKitchen,Furnished,OpenFire,Terrace,Garden,Surface,NumberOfFacades,SwimmingPool,StateOfBuilding
0,11035442.0,Ronse,9600,HOUSE,HOUSE,394600.0,NewlyBuilt,3.0,172.0,,0.0,0.0,,90.0,176.0,3.0,False,
1,11035422.0,Kuurne,8520,HOUSE,HOUSE,239000.0,,4.0,163.0,,0.0,0.0,,0.0,0.0,,False,GOOD
2,11035421.0,Ronse,9600,HOUSE,HOUSE,383700.0,NewlyBuilt,4.0,183.0,,0.0,0.0,,97.0,149.0,2.0,False,
3,11035420.0,Ronse,9600,HOUSE,HOUSE,347400.0,NewlyBuilt,4.0,168.0,,0.0,0.0,,93.0,166.0,3.0,False,
4,11035417.0,Ronse,9600,HOUSE,HOUSE,313400.0,NewlyBuilt,3.0,162.0,1.0,0.0,0.0,,63.0,141.0,3.0,False,
5,11035361.0,Ronse,9600,HOUSE,HOUSE,308500.0,NewlyBuilt,2.0,97.0,1.0,0.0,0.0,,110.0,187.0,3.0,False,
6,11035359.0,Izegem,8870,HOUSE,HOUSE,150000.0,,3.0,140.0,1.0,0.0,0.0,1.0,1.0,115.0,2.0,False,JUST_RENOVATED
7,11035357.0,Niel,2845,HOUSE,HOUSE,279000.0,,3.0,122.0,,0.0,0.0,0.0,0.0,0.0,2.0,False,
8,11035352.0,DINEZ,6661,HOUSE,HOUSE,330000.0,,3.0,211.0,1.0,0.0,0.0,0.0,0.0,1800.0,4.0,False,AS_NEW
9,11035350.0,Liège,4000,HOUSE,MIXED_USE_BUILDING,395000.0,,3.0,153.0,,0.0,0.0,0.0,0.0,70.0,2.0,False,TO_RENOVATE
10,11035341.0,Denderleeuw,9470,HOUSE,HOUSE,385000.0,,0.0,150.0,,0.0,0.0,,124.0,290.0,3.0,False,
11,11035296.0,Zoersel,2980,HOUSE,HOUSE,599000.0,,3.0,225.0,,0.0,0.0,,0.0,1092.0,4.0,False,GOOD
12,11035295.0,Ravels Poppel,2382,HOUSE,HOUSE,565000.0,,5.0,230.0,,0.0,0.0,,0.0,979.0,4.0,False,
13,11035288.0,Merelbeke,9820,HOUSE,HOUSE,320000.0,,4.0,281.0,1.0,0.0,1.0,,0.0,180.0,3.0,False,TO_BE_DONE_UP
14,11035287.0,Waterloo,1410,HOUSE,VILLA,1350000.0,,3.0,496.0,1.0,0.0,0.0,,0.0,715.0,4.0,True,AS_NEW
15,11035275.0,Comines,7780,HOUSE,HOUSE,249000.0,,5.0,150.0,,0.0,0.0,,20.0,226.0,2.0,False,
16,11035272.0,Oudenaarde,9700,HOUSE,HOUSE,248000.0,,3.0,165.0,,0.0,1.0,0.0,0.0,604.0,3.0,False,
17,11035271.0,Deerlijk,8540,HOUSE,HOUSE,425000.0,,3.0,245.0,1.0,0.0,1.0,60.0,90.0,292.0,2.0,False,GOOD
18,11035252.0,Oostende,8400,HOUSE,HOUSE,230000.0,,3.0,,,0.0,0.0,0.0,0.0,276.0,4.0,False,TO_RENOVATE
19,11035240.0,Gent,9030,HOUSE,HOUSE,319000.0,,4.0,190.0,,0.0,0.0,0.0,0.0,120.0,2.0,False,TO_BE_DONE_UP
20,11035239.0,Gent,9000,HOUSE,HOUSE,319000.0,,4.0,190.0,,0.0,0.0,0.0,0.0,120.0,2.0,False,TO_BE_DONE_UP
21,11035237.0,Gent,9032,HOUSE,HOUSE,425000.0,,3.0,175.0,0.0,0.0,0.0,0.0,171.0,285.0,3.0,False,GOOD
22,11035195.0,Kortrijk,8500,HOUSE,APARTMENT_BLOCK,649000.0,,9.0,,,0.0,0.0,,0.0,110.0,2.0,False,GOOD
23,11035186.0,Kruibeke,9150,HOUSE,HOUSE,235000.0,,3.0,131.0,1.0,0.0,1.0,0.0,,262.0,2.0,False,TO_RENOVATE
24,11035183.0,Lommel,3920,HOUSE,HOUSE,370000.0,,3.0,133.0,1.0,0.0,1.0,,,0.0,4.0,False,GOOD
25,11035178.0,Dendermonde,9200,HOUSE,HOUSE,360000.0,,3.0,146.0,,0.0,1.0,0.0,,141.0,2.0,False,AS_NEW
26,11035177.0,Dilbeek,1700,HOUSE,HOUSE,729000.0,,4.0,377.0,1.0,0.0,0.0,,0.0,616.0,4.0,False,GOOD
27,11035176.0,Antoing,7640,HOUSE,HOUSE,155000.0,,2.0,145.0,1.0,0.0,1.0,20.0,0.0,100.0,2.0,False,GOOD
28,11035175.0,Sint-Jans-Molenbeek,1080,HOUSE,APARTMENT_BLOCK,585000.0,,6.0,350.0,1.0,0.0,0.0,,0.0,150.0,2.0,False,TO_BE_DONE_UP
