property_id,postal_code,type_of_property,subtype_of_property,price,bedrooms,living_area,openfire,terrace,garden,rooms,bathrooms,region,province,state_of_property,facade_count,heating,kitchen,furnished,swimmingpool
11201377,1800,APARTMENT,SERVICE_FLAT,340000,1,,False,,False,,1,Flandres,Brabant Flamand,AS_NEW,,,,,
11201378,1800,APARTMENT,APARTMENT,340000,1,,False,,False,,1,Flandres,Brabant Flamand,AS_NEW,,,,,
11201374,1030,APARTMENT,GROUND_FLOOR,289000,2,90,False,10,False,,1,Bruxelles,Bruxelles,TO_RENOVATE,2,,,,
11201381,2850,APARTMENT_GROUP,APARTMENT_GROUP,,,,False,,False,,,Flandres,Anvers,,,,,,
10616311,1160,APARTMENT,APARTMENT,262000,2,75,False,18,False,,1,Bruxelles,Bruxelles,GOOD,4,GAS,INSTALLED,False,False
10515715,2600,APARTMENT,APARTMENT,260000,3,95,False,1,False,,1,Flandres,Anvers,GOOD,3,FUELOIL,INSTALLED,,
11125684,1120,APARTMENT,APARTMENT,250000,2,70,False,,False,,1,Bruxelles,Bruxelles,TO_RENOVATE,2,GAS,,False,
11153114,1081,APARTMENT,APARTMENT,260000,2,106,False,,False,,1,Bruxelles,Bruxelles,TO_RENOVATE,2,FUELOIL,,False,False
10882878,1030,APARTMENT,APARTMENT,260000,2,95,False,8,False,,1,Bruxelles,Bruxelles,TO_RENOVATE,2,GAS,,False,False
11108348,1030,APARTMENT,APARTMENT,250000,1,55,False,20,False,,1,Bruxelles,Bruxelles,GOOD,4,GAS,USA_HYPER_EQUIPPED,,
11103663,2060,APARTMENT,APARTMENT,245000,1,55,False,,False,,1,Flandres,Anvers,AS_NEW,2,GAS,HYPER_EQUIPPED,,
10908949,1150,APARTMENT,PENTHOUSE,249000,1,62,False,40,False,,1,Bruxelles,Bruxelles,GOOD,2,GAS,SEMI_EQUIPPED,False,False
11125449,1070,APARTMENT,APARTMENT,239000,2,97,False,7,False,,1,Bruxelles,Bruxelles,GOOD,2,GAS,,,
11121845,8400,APARTMENT,APARTMENT,240000,2,84,False,2,False,11,1,Flandres,Flandre Occidentale,TO_RENOVATE,,GAS,,,
11056167,1090,APARTMENT,APARTMENT,235000,2,83,False,1,False,,1,Bruxelles,Bruxelles,GOOD,2,GAS,INSTALLED,False,False
10373856,1080,APARTMENT,APARTMENT,230000,2,82,False,3,False,,1,Bruxelles,Bruxelles,GOOD,,GAS,,False,
10250928,1080,APARTMENT,APARTMENT,239000,2,105,False,4,False,,1,Bruxelles,Bruxelles,AS_NEW,2,GAS,INSTALLED,False,False
10937058,1180,APARTMENT,PENTHOUSE,235000,2,97,False,10,False,,1,Bruxelles,Bruxelles,TO_RENOVATE,2,GAS,,False,False
10827768,9200,APARTMENT,APARTMENT,225000,2,82,False,40,False,,1,Flandres,Flandre Orientale,JUST_RENOVATED,2,GAS,INSTALLED,,
10775767,1070,APARTMENT,APARTMENT,220000,2,97,False,7,False,,1,Bruxelles,Bruxelles,GOOD,2,GAS,,,
11122633,1070,APARTMENT,APARTMENT,220000,2,81,False,,False,,1,Bruxelles,Bruxelles,JUST_RENOVATED,2,GAS,HYPER_EQUIPPED,False,False
11164797,1030,APARTMENT,APARTMENT,225000,2,65,False,2,False,,1,Bruxelles,Bruxelles,GOOD,2,GAS,USA_INSTALLED,False,
11163125,5380,APARTMENT,DUPLEX,209000,2,88,False,,False,,1,Wallonie,Namur,GOOD,4,FUELOIL,INSTALLED,,
11147415,4420,APARTMENT,APARTMENT,210198,2,82,False,24,False,,1,Wallonie,Liège,AS_NEW,2,GAS,INSTALLED,,
11052644,1000,APARTMENT,APARTMENT,225000,1,59,False,,False,,1,Bruxelles,Bruxelles,GOOD,2,GAS,SEMI_EQUIPPED,False,False
10934324,1080,APARTMENT,APARTMENT,214000,2,84,False,12,False,,1,Bruxelles,Bruxelles,TO_BE_DONE_UP,,GAS,,False,False
11147418,4420,APARTMENT,APARTMENT,203682,2,80,False,8,False,,1,Wallonie,Liège,AS_NEW,2,GAS,INSTALLED,,
11020815,2020,APARTMENT,APARTMENT,210000,1,55,False,,False,,1,Flandres,Anvers,GOOD,,GAS,,,
11168632,1030,APARTMENT,APARTMENT,200000,2,71,False,,False,,1,Bruxelles,Bruxelles,GOOD,2,GAS,HYPER_EQUIPPED,False,
10931719,1080,APARTMENT,APARTMENT,195000,2,81,False,,False,,1,Bruxelles,Bruxelles,TO_BE_DONE_UP,2,GAS,,False,False
10982087,1090,APARTMENT,APARTMENT,200000,3,100,False,18,False,,1,Bruxelles,Bruxelles,TO_RENOVATE,4,GAS,,False,False
10437960,1070,APARTMENT,APARTMENT,199000,1,60,False,3,False,,1,Bruxelles,Bruxelles,AS_NEW,2,GAS,HYPER_EQUIPPED,False,False
11115853,1082,APARTMENT,APARTMENT,199000,3,93,False,7,False,,1,Bruxelles,Bruxelles,TO_RENOVATE,4,GAS,,False,False
11201560,8670,APARTMENT,APARTMENT,299000,1,60,False,14,False,1,1,Flandres,Flandre Occidentale,GOOD,,,,,
11201556,8500,APARTMENT,APARTMENT,159000,1,50,False,,False,1,1,Flandres,Flandre Occidentale,,,ELECTRIC,,,
11036112,4100,APARTMENT,APARTMENT,199000,2,92,False,5,False,,,Wallonie,Liège,GOOD,2,GAS,INSTALLED,,False
11201579,7090,HOUSE,HOUSE,260000,4,176,False,,False,,1,Wallonie,Hainaut,,3,GAS,INSTALLED,False,
11201554,8500,APARTMENT,APARTMENT,154000,1,55,False,,False,1,1,Flandres,Flandre Occidentale,,2,,,,
11201563,4140,HOUSE,HOUSE,350000,4,150,False,60,False,,1,Wallonie,Liège,GOOD,4,GAS,INSTALLED,False,False
11201557,8500,APARTMENT,LOFT,549000,2,169,False,,False,1,1,Flandres,Flandre Occidentale,GOOD,,GAS,,,
11201581,9500,HOUSE,HOUSE,259000,2,158,False,,False,7,1,Flandres,Flandre Orientale,GOOD,3,,,,
11201561,8020,HOUSE,HOUSE,349000,4,171,False,,False,1,2,Flandres,Flandre Occidentale,GOOD,4,GAS,,,
11201582,9308,HOUSE,VILLA,649000,6,370,False,,False,,2,Flandres,Flandre Orientale,,4,GAS,,False,False
11201583,9300,HOUSE,HOUSE,399000,3,212,False,,False,,1,Flandres,Flandre Orientale,,3,GAS,,False,False
11201604,9960,HOUSE,HOUSE,319000,3,149,False,,False,,1,Flandres,Flandre Orientale,,4,GAS,,False,False
11201600,1050,APARTMENT,APARTMENT,825000,3,184,False,11,False,,2,Bruxelles,Bruxelles,AS_NEW,2,ELECTRIC,HYPER_EQUIPPED,False,False
11201594,5370,HOUSE,HOUSE,295000,3,160,False,14,False,,2,Wallonie,Namur,,4,FUELOIL,INSTALLED,,False
11201585,3840,APARTMENT,APARTMENT,295000,3,141,False,,False,,2,Flandres,Limbourg,,2,GAS,,False,False
10916436,1080,HOUSE,APARTMENT_BLOCK,495000,6,264,True,,True,,,Bruxelles,Bruxelles,,2,,,,
11201621,1340,APARTMENT,PENTHOUSE,690000,3,250,False,,False,,2,Wallonie,Brabant Wallon,,4,GAS,,,
11201619,1120,HOUSE,HOUSE,450000,3,140,False,20,False,,2,Bruxelles,Bruxelles,,2,GAS,INSTALLED,False,
11201624,1300,HOUSE,HOUSE,480000,5,324,False,,False,,3,Wallonie,Brabant Wallon,TO_RENOVATE,4,,,,
11201625,1340,APARTMENT,APARTMENT,675000,3,207,False,20,False,,2,Wallonie,Brabant Wallon,,4,GAS,,,
11201605,9111,HOUSE,HOUSE,390000,3,126,False,30,False,,1,Flandres,Flandre Orientale,AS_NEW,3,GAS,,,False
11201626,1332,APARTMENT,APARTMENT,315000,2,100,False,,False,,1,Wallonie,Brabant Wallon,,,,,,
11201627,1341,HOUSE,APARTMENT_BLOCK,325000,6,600,False,,False,,,Wallonie,Brabant Wallon,TO_RENOVATE,4,,,,
11201623,1340,HOUSE,HOUSE,325000,6,600,False,,False,,,Wallonie,Brabant Wallon,TO_RENOVATE,4,,,,
11201622,1341,HOUSE,HOUSE,325000,6,600,False,,False,,,Wallonie,Brabant Wallon,TO_RENOVATE,4,,,,
11201628,1340,HOUSE,APARTMENT_BLOCK,325000,6,600,False,,False,,,Wallonie,Brabant Wallon,TO_RENOVATE,4,,,,
11201634,1081,HOUSE,APARTMENT_BLOCK,440000,4,225,False,,False,,3,Bruxelles,Bruxelles,TO_RENOVATE,2,,,,
11201629,4020,HOUSE,APARTMENT_BLOCK,2400000,0,1463,False,,False,,,Wallonie,Liège,,4,,,,
11201636,1150,APARTMENT,APARTMENT,335000,2,75,False,,False,,1,Bruxelles,Bruxelles,JUST_RENOVATED,,GAS,INSTALLED,,
11177618,2640,APARTMENT,APARTMENT,279000,2,85,False,3,False,,1,Flandres,Anvers,JUST_RENOVATED,2,GAS,INSTALLED,,
11176106,2018,APARTMENT,APARTMENT,249000,2,90,False,,False,,,Flandres,Anvers,,,FUELOIL,NOT_INSTALLED,,
11178885,8434,APARTMENT,APARTMENT,285000,2,72,False,,False,10,2,Flandres,Flandre Occidentale,TO_BE_DONE_UP,,,,,
11176568,4430,APARTMENT,APARTMENT,165000,1,61,False,3,False,,1,Wallonie,Liège,AS_NEW,2,GAS,INSTALLED,False,False
11197899,2590,APARTMENT,APARTMENT,180000,2,107,False,,False,12,1,Flandres,Anvers,TO_RENOVATE,,GAS,INSTALLED,,
11196053,1030,APARTMENT,APARTMENT,199000,1,69,False,,False,,,Bruxelles,Bruxelles,TO_BE_DONE_UP,,GAS,INSTALLED,,
11177619,2640,APARTMENT,GROUND_FLOOR,279000,2,85,False,3,False,,1,Flandres,Anvers,JUST_RENOVATED,2,GAS,INSTALLED,,
11191536,9310,APARTMENT,APARTMENT,515000,4,142,False,,False,,2,Flandres,Flandre Orientale,GOOD,3,GAS,INSTALLED,,
11188523,8400,APARTMENT,APARTMENT,309000,3,146,False,,False,12,1,Flandres,Flandre Occidentale,GOOD,,GAS,HYPER_EQUIPPED,,
